,Name,CountryOrigin,Organisation,Purpose,ClassOfOrbit,Perigee,Apogee,Inclination,TimePeriod,Mass,Power,DateOfLaunch,LifeSpan,LaunchVehicle
1,Aalto-1 ,Finland,University of Aalto,Technology Development,LEO,497,517,97.45,94.7,4.5,4.5,2017-06-23,2,PSLV
3,"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,35778,35793,0.08,1436.03,6330,16000,2014-02-06,15,Ariane 5 ECA
6,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,35780,35793,0.01,1436.1,4143,7400,2004-03-13,12,Atlas 3
7,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,35777,35794,0.01,1436.08,2894,6800,1999-09-26,15,Proton
8,"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,35780,35791,0.01,1436.06,3500,4800,1999-09-04,15,Ariane
34,"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",Multinational,EUTELSAT S.A.,Communications,GEO,35764,35808,0.12,1436.08,3460,7000,2008-12-20,15,Ariane 5
35,AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Earth Observation,LEO,544,552,97.9,96.2,215,216,2007-04-25,2,Pegasus XL
53,Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,35767,35805,0.03,1436.08,5465,15300,2009-10-01,15,Ariane 5
54,Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,35781,35791,0.03,1436.05,6265,14000,2013-02-07,15,Ariane 5 ECA
57,"AMC-1 (Americom 1, GE-1)",USA,SES S.A.,Communications,GEO,35772,35800,0.03,1436.1,2783,6500,1996-09-08,15,Atlas 2A
58,"AMC-10 (Americom-10, GE 10)",USA,SES S.A.,Communications,GEO,35775,35797,0.01,1436.09,2315,6500,2004-02-05,15,Atlas 2AS
59,"AMC-11 (Americom-11, GE 11)",USA,SES S.A.,Communications,GEO,35774,35797,0.04,1436.07,2340,6500,2004-05-19,15,Atlas 2AS
63,"AMC-2 (Americom 2, GE-2)",USA,SES S.A.,Communications,GEO,35774,35798,0.05,1436.1,2648,6500,1997-01-30,15,Ariane 44L
64,AMC-21 (Americom 21),USA,SES S.A.,Communications,GEO,35778,35793,3,1436.1,2500,5000,2008-08-14,15,Ariane 5 ECA
67,"AMC-7 (Americom-7, GE-7)",USA,SES S.A.,Communications,GEO,35773,35798,0.01,1436.08,1935,6500,2000-09-14,15,Ariane 5G
